M,Clarksons Research World Shipyard Monitor Orders in CGT
200501,
200502,
200503,
200504,
200505,
200506,
200507,
200508,
200509,
200510,
200511,
200512,
200601,
200602,
200603,
200604,
200605,
200606,
200607,
200608,
200609,
200610,
200611,
200612,
200701,
200702,
200703,
200704,
200705,
200706,
200707,
200708,
200709,
200710,
200711,
200712,
200801,
200802,
200803,
200804,
200805,
200806,
200807,
200808,
200809,
200810,
200811,
200812,
200901,
200902,
200903,
200904,
200905,
200906,
200907,
200908,
200909,
200910,
200911,
200912,
201001,
201002,
201003,
201004,
201005,
201006,
201007,
201008,
201009,
201010,
201011,
201012,
201101,
201102,
201103,
201104,
201105,
201106,
201107,
201108,
201109,
201110,
201111,
201112,
201201,
201202,
201203,
201204,
201205,
201206,
201207,
201208,
201209,
201210,
201211,
201212,
201301,
201302,
201303,
201304,
201305,
201306,
201307,
201308,
201309,
201310,
201311,
201312,
201401,
201402,
201403,
201404,
201405,
201406,
201407,
201408,
201409,
201410,
201411,
201412,
201501,79
201502,100
201503,116
201504,61
201505,120
201506,216
201507,98
201508,30
201509,131
201510,81
201511,27
201512,39
201601,3
201602,6
201603,11
201604,1
201605,26
201606,39
201607,3
201608,21
201609,20
201610,29
201611,5
201612,58
201701,34
201702,50
201703,4
201704,74
201705,78
201706,85
201707,31
201708,23
201709,186
201710,50
201711,62
201712,84
201801,67
201802,125
201803,181
201804,71
201805,98
201806,99
201807,109
201808,54
201809,223
201810,39
201811,58
201812,183
201901,73
201902,75
201903,44
201904,37
201905,68
201906,61
201907,55
201908,84
201909,69
201910,140
201911,63
201912,174
202001,8
202002,36
202003,10
202004,30
202005,26
202006,23
202007,62
202008,74
202009,46
202010,97
202011,122
202012,290
202101,98
202102,177
202103,355
202104,124
202105,149
202106,223
202107,177
202108,86
202109,112
202110,112
202111,121
202112,54
202201,199
202202,82
202203,210
202204,99
202205,123
202206,257
202207,107
202208,77
202209,137
202210,146
202211,108
202212,43
202301,64
202302,177
202303,97
202304,88
202305,58
202306,59
202307,155
202308,27
202309,21
202310,165
202311,82
202312,20
202401,133
202402,211