,lower Unemployment rate,lower Employment to population ratio,lower Number of employed people,lower Monthly goods exports,lower Monthly goods imports,lower Export price index,lower Import price index,lower Producer price index,lower Consumer price index,lower Price index excluding agricultural product & oil,lower Price index excluding food & energy,lower Consumption & Retail sales index(SA),lower Service industry production index(SA),lower Consumption & Retail sales index(NSA),lower Service industry production index(NSA),lower Manufacturing industry production index(SA),lower Manufacturing industry shipment index(SA),lower Manufacturing inventory index(SA),lower Manufacturing industry production index(NSA),lower Manufacturing industry shipment index(NSA),lower Manufacturing inventory index(NSA),lower Facility investment index(SA),lower Construction completed(SA),lower Facility investment index(NSA),lower Construction completed(NSA),lower Manufacturing business performance BSI(SA),lower Manufacturing business performance BSI(NSA),lower All industries performance BSI,lower Service industry performance BSI,lower All industries sales BSI,lower Manufacturing export BSI,lower Manufacturing domestic demand sales BSI,lower Manufacturing new orders BSI,lower Manufacturing operation rate BSI,lower Economic sentiment index,lower Current economic judgment CSI,lower Consumer sentiment index,lower Consolidated fiscal balance,lower Housing sales price index(HSPI)-Seoul,lower Housing sales price index(HSPI)-National,lower Housing lease price index(HLPI)-Seoul,lower Housing lease price index(HLPI)-National,lower Call rate,lower CD rate,lower KTB 3-year rate,lower KRW exchange rate,lower EUR exchange rate,lower KOSPI,lower KOSDAQ,lower Dubai crude oil,lower WTI futures,lower Gold futures,lower GDP(SA)(Q),lower GDP(NSA)(Q),lower Private consumption(SA)(Q),lower Government consumption(SA)(Q),lower Construction(SA)(Q),lower Facility investment(SA)(Q),lower Exports of goods and services(SA)(Q),lower Imports of goods and services(SA)(Q),lower Private consumption(NSA)(Q),lower Government consumption(NSA)(Q),lower Construction(NSA)(Q),lower Facility investment(NSA)(Q),lower Exports of goods and services(NSA)(Q),lower Imports of goods and services(NSA)(Q),upper Unemployment rate,upper Employment to population ratio,upper Number of employed people,upper Monthly goods exports,upper Monthly goods imports,upper Export price index,upper Import price index,upper Producer price index,upper Consumer price index,upper Price index excluding agricultural product & oil,upper Price index excluding food & energy,upper Consumption & Retail sales index(SA),upper Service industry production index(SA),upper Consumption & Retail sales index(NSA),upper Service industry production index(NSA),upper Manufacturing industry production index(SA),upper Manufacturing industry shipment index(SA),upper Manufacturing inventory index(SA),upper Manufacturing industry production index(NSA),upper Manufacturing industry shipment index(NSA),upper Manufacturing inventory index(NSA),upper Facility investment index(SA),upper Construction completed(SA),upper Facility investment index(NSA),upper Construction completed(NSA),upper Manufacturing business performance BSI(SA),upper Manufacturing business performance BSI(NSA),upper All industries performance BSI,upper Service industry performance BSI,upper All industries sales BSI,upper Manufacturing export BSI,upper Manufacturing domestic demand sales BSI,upper Manufacturing new orders BSI,upper Manufacturing operation rate BSI,upper Economic sentiment index,upper Current economic judgment CSI,upper Consumer sentiment index,upper Consolidated fiscal balance,upper Housing sales price index(HSPI)-Seoul,upper Housing sales price index(HSPI)-National,upper Housing lease price index(HLPI)-Seoul,upper Housing lease price index(HLPI)-National,upper Call rate,upper CD rate,upper KTB 3-year rate,upper KRW exchange rate,upper EUR exchange rate,upper KOSPI,upper KOSDAQ,upper Dubai crude oil,upper WTI futures,upper Gold futures,upper GDP(SA)(Q),upper GDP(NSA)(Q),upper Private consumption(SA)(Q),upper Government consumption(SA)(Q),upper Construction(SA)(Q),upper Facility investment(SA)(Q),upper Exports of goods and services(SA)(Q),upper Imports of goods and services(SA)(Q),upper Private consumption(NSA)(Q),upper Government consumption(NSA)(Q),upper Construction(NSA)(Q),upper Facility investment(NSA)(Q),upper Exports of goods and services(NSA)(Q),upper Imports of goods and services(NSA)(Q)
2019-01,-8.38566997225921,-0.4064560410574142,-0.3026575670341031,-8.99162778345245,-9.517660509609259,-4.228797323151866,-5.0980447289822814,-1.0086551423420365,-0.45188209922913725,-0.20020377943533546,-0.1697135193812081,-3.3321027896843307,-1.7890452500827208,-3.05316901017859,-1.1703481935880753,-4.540815310985555,-3.4914775125425126,-3.2841699046323103,-8.18730801096984,-8.053346662509878,-4.117969777308105,-8.858541145492113,-8.57973724294879,-22.17117281391066,-17.65811035302559,-6.852658055973514,-44.60147404823748,-4.775049248144697,-7.471812571704662,-4.449526261369413,-6.205875155245876,-5.9032542395271275,-6.313007313193471,-6.21350017233644,-5.945559106637574,-16.404974036455943,-6.834286675759693,-1.0253096039246834,-0.689825921356372,-0.4657648264180564,-0.633565251311007,-0.5591579900021377,-4.414368456814474,-5.283994873263894,-10.340475216704792,-4.639630366485925,-4.474389694714795,-8.037529602766535,-9.85103956017478,-17.98116896073944,-0.1289315276536684,-6.822123229583302,-0.3304317881250971,1.7629076281411789,-0.07558161219949588,0.9096693704346022,-3.9670271877969263,-4.493445037652566,-3.6877939188741906,-4.25533284694443,1.7680644610697334,6.043229947394205,-6.696472813072329,-9.551878402015785,3.191758750967652,-2.126370270009341,11.843279125761176,0.5311271208412015,0.6457474163489068,11.735368140899261,11.607493596907714,2.7624678438512116,3.398486330372461,0.8300941502714975,0.5140462119724343,0.41828222936984866,0.39906112586360637,3.712252478933507,1.8280641852985735,8.628377671255397,4.8539680592392855,4.311382722008342,4.229999054469875,3.600773933821548,12.725606644188524,10.217646273007663,14.766845089062212,8.463295975688775,7.022806647859574,9.420561685444161,5.6258005025752915,6.948905841409564,30.568496501092696,6.95514458644926,6.770516563715459,5.593325424399576,6.880550487973079,7.463948888279759,5.713016028523762,6.225562196841148,5.697034143634077,20.041516139631145,7.644656442280984,0.9347869257079592,1.1356099345563488,0.7608950604904628,0.7787332851546569,0.5762793209170634,12.738246711253327,10.580481323636217,8.12163097868201,4.548973713096554,3.9535590605388533,8.641589269059262,10.640482355228354,13.515760045837943,0.0885359555733352,8.265621466307442,1.4821027679209473,3.979371796207291,1.3821559292435655,3.4416499852560163,3.6406324196181172,7.137253411578276,4.538907699266009,5.570862080870231,3.0107100887114813,8.032789318184856,-2.3256547051384073,-1.9297241935304785,9.335782377518829,6.9428888010957
2019-02,-12.944454069059915,-0.5198757235957367,-0.4200248775265789,-13.752420978890397,-12.90000063304435,-4.052069780986237,-4.508020384442114,-1.0041923578091525,-0.4283762083785256,-0.1860042990127717,-0.14597302789475214,-4.085647986276684,-1.7955860217818875,-3.3090654143885523,-1.0330837255584937,-4.773822329682645,-4.914390285805201,-3.04141931825782,-8.261813061515273,-7.887408468417117,-4.401790472013628,-10.229723651487502,-9.33169632170621,-25.08375875746903,-19.119990326316067,-5.734479553574904,-43.59780263912026,-5.42566184925823,-6.684916640161918,-6.03962152655727,-7.467832003550906,-7.910541684897462,-6.387620427847117,-6.845875478048873,-4.818195574094611,-16.413543313479856,-6.985189702627185,-0.6956829497731152,-0.8609641653985655,-0.5334064749441203,-0.767342020871233,-0.607696480261682,-9.770230776313728,-9.458437816813825,-10.361367681705149,-4.302085929062668,-4.331918118451988,-8.03250286267038,-10.55705272278792,-15.74771150796924,-0.11444389489037705,-6.933965362505228,-0.17389387058391903,1.4330691125827066,-0.20406450087805772,0.4451334533132085,-2.8787323662573963,-4.015565931864872,-4.868774188075625,-3.9885760495947653,1.5493350356450513,5.150591530019445,-6.633136871207828,-12.449393223026705,0.37230920974069637,-2.7447965504181218,7.284503522768092,0.4177161993012557,0.5283940218647322,6.980889155816746,8.232511418856348,2.9397090029754227,3.988695354907866,0.8345413938623323,0.5375782421930098,0.43247934317010617,0.42280270172512685,2.9589744165250007,1.8217925739373086,8.373927939642572,4.9947158772658815,4.080226842710726,2.809233501239812,3.8435182294816737,12.652788844610868,10.38733481903779,14.482093869799117,7.099142358883304,6.270971648325091,6.535745238127657,4.218154090803176,8.066508443147152,31.575103721409544,6.303973313791445,7.557212644864432,4.002912553875878,5.6187685166453685,5.456307257742155,5.6380910336771874,5.592877363998655,6.823505527504169,20.03261045053069,7.493600447774243,1.264460751199787,0.9644104619426584,0.6931940124765168,0.6449261371868859,0.5277078836478808,7.382740880634201,6.406278940348233,8.100965202067416,4.88635568612242,4.0960467031537515,8.646247358190998,9.933959942996145,15.749276088100457,0.10302560374780552,8.153830785360142,1.315467576792667,4.173829324817339,1.5863501407259046,2.782383725653408,4.430336564595517,6.69873498763063,2.3975793393574367,4.832081595239179,3.6653585537190256,8.843926536933097,1.6346166653029748,1.2808798689626304,10.87937445605483,8.700843459171892
2019-03,-8.821881516854745,-0.5050688959467898,-0.41899448210984336,-11.423829110745967,-8.95896220030534,-4.240220270905362,-4.5563104536392895,-0.9427226263248059,-0.3912840635303019,-0.13132473659144356,-0.14445222581356343,-1.616301714924398,-1.285785203330861,-3.5945854631817182,-1.0126901814227844,-4.032128072102481,-3.1689446031095523,-3.458371326601727,-11.39690775031804,-10.001204149367073,-4.376567727219703,-7.6846215147610835,-6.359633828245814,-29.95782850424024,-17.650335289713073,-6.768614875233355,-41.7359891437941,-5.212693356053615,-5.2736361013466695,-4.525409407747977,-6.882973917525631,-7.325748212333182,-5.969888961635411,-7.218977246249792,-5.36045443702393,-12.846129352357652,-5.5594654660653156,-1.1048457742144886,-0.8364075336619489,-0.5363491873538478,-0.7613619789749568,-0.5607530790898472,-9.17922995946989,-8.64582336782206,-10.18625870794697,-4.749181477661561,-4.3904281145765855,-6.727870474856981,-7.764494792413268,-14.806735763756526,-0.10692185568724333,-6.839397324311822,-0.33376602658649845,0.5840674772860952,-0.37902234081574093,-0.4170933040526279,-3.780293574183346,-7.6592702266260675,-3.9106724939294244,-5.6514871098814075,0.30008785886850653,4.393862261568573,-7.494239379883999,-18.000383234577555,-4.13721126048091,-7.351099443788144,11.407076595619696,0.43252394154488827,0.5294266994390872,9.310272042774777,12.174245755311095,2.752308368392148,3.9407979695782847,0.89608672190859,0.5746948757792691,0.48716689602381197,0.4243312620972636,5.428327584387784,2.3316021412101966,8.088664582258946,5.01550874222942,4.822011570564982,4.5547842471937585,3.426779936476906,9.521254579030607,8.278233006283696,14.509112332208675,9.6451651915547,9.24304877268634,1.6649379816874124,5.691305698325696,7.033598290739865,33.438525804015185,6.518398697410943,8.969878685469475,5.517510938425177,6.203798866676197,6.041508746316244,6.056202025664926,5.2201446874540816,6.283010894746048,23.60579194058615,8.921324413476245,0.8553281364908045,0.9890603286174656,0.6903417488219173,0.6509620397713523,0.5747174141891762,7.974008849681463,7.219389903277936,8.276084959850282,4.4395554388425085,4.0375371712371555,9.951346540977195,12.727518390639423,16.69029906764389,0.11054777337798846,8.248468791417972,1.5577214180329153,3.7283076911198823,1.6773715531244955,2.4321138057521345,5.045135245591823,5.4293646617342395,5.090046929398125,5.230153712729442,3.105174212027333,9.16347577766575,3.8462484441393636,0.0968207129167844,8.670484409524562,5.794392391700857
2019-04,-9.903918128908721,-0.4461289390792094,-0.36113187911943634,-13.29479244373752,-11.416713931124193,-4.242998338902021,-4.4033851449488655,-0.7186982599554488,-0.4032322247017478,-0.20979717236297107,-0.17557858365741336,-4.903023675932743,-1.5390309462726859,-3.1409800121185847,-1.9905886312570322,-4.294231297919797,-4.144847459487175,-3.5723318187531223,-11.41710006825003,-9.714694537806915,-8.33732707447817,-11.937634879247215,-7.1391804904788145,-28.62008290365053,-14.124919207667244,-5.935442136487016,-36.52763186843054,-4.129225684936266,-5.532847260948893,-3.767325743388364,-4.883051860619442,-5.372318700270826,-4.606155056367141,-5.18215006437462,-2.7693274166774424,-10.066313650021979,-4.1204740628000485,-1.1679053350444755,-0.8734711492263061,-0.5810325293328424,-0.7776155703461696,-0.6356343032462805,-8.855854849377025,-8.180156726850022,-9.447122216370227,-5.178740432191238,-4.266658916093305,-6.621374943670062,-7.73835287400037,-13.35734615683067,-0.10027472108350523,-7.081853097199424,-0.33539120000504796,0.8072481847632138,-0.10133036777448645,-0.12567757431602367,-3.52701269480855,-8.707625248319474,-7.157000173809899,-6.490284812645184,0.7816467265122043,4.169763202471313,-9.7672466326684,-19.66378157172015,-5.4348596336254795,-10.751435836440937,10.325030969111666,0.49145422281940626,0.5872731042635735,7.432203480614191,9.70844017539278,2.7482668281010563,4.093145914405877,1.1200510326580853,0.5626960864998237,0.40868883644221304,0.3931960615874011,2.141331592685095,2.0780784891086084,8.540566669315403,4.033727621570328,4.5579667350741,3.5766291075252123,3.312612019700736,9.495814586908335,8.556298397710622,10.547487791892143,5.384202241933673,8.463363400329548,2.9716515957042873,9.158991647933632,7.866121760896062,38.642338680899634,7.600968149657691,8.709481874471228,6.275525942380625,8.203373782599513,7.994884427536061,7.419868285350091,7.256912304802968,8.873265833594207,26.38017652606511,10.35846905524063,0.792191194588167,0.951964706686415,0.645627357575677,0.6346829661194944,0.49980300767292063,8.296760318690776,7.684319470050087,9.014983979016575,4.009863647391241,4.161289839160344,10.057743928155734,12.753169041402764,18.139582849746706,0.11719276214349834,8.005891598691319,1.4771433560409966,3.0237123528293264,1.356407173668575,2.4063030405053905,4.080646912606494,2.9230732009113645,1.0697014443302946,3.3359101151694777,2.0242923541539524,6.1593225732619645,-5.396428524734477,-12.041627363234845,0.7091639929256965,-1.6821767653358979
2019-05,-11.449443396297223,-0.3743577552963021,-0.3225355231601587,-12.780079595041782,-12.978789910889837,-3.967177716757991,-4.063299480940667,-0.927086258304167,-0.3122029148945781,-0.16930240720237366,-0.14032688745115007,-2.42475275736032,-1.4754430565954655,-3.556630837878758,-1.6001233868437428,-4.3656703872136635,-3.071384066057339,-3.6729087472901583,-10.598590608465372,-9.0930573124764,-6.499650826724416,-8.989723533897603,-7.46262685147852,-24.84387325066396,-14.929338184368312,-5.550319097550816,-39.77252976243211,-4.296262970069871,-4.8551778050115235,-4.400751421404114,-6.823044056617116,-6.290818351080347,-5.668332418196493,-5.75960233189304,-4.269940299741241,-13.215795906489072,-5.624316740180617,-0.7150236793704832,-0.882468949383354,-0.739261228317024,-0.7833000441203553,-0.6811175575792806,-9.231966614841198,-9.037894152298461,-9.81847044050531,-4.654814062683703,-4.2280901594254585,-6.9427269188670735,-9.091624207091069,-14.41548649963287,-0.10681595683361432,-7.343684257465053,-0.28696712123002355,0.8719345914370766,-0.1645498455342581,-0.31292377359894274,-3.7664295839105923,-8.854181851122888,-5.590806743898984,-5.201207836079741,0.7630153160300661,3.2560993750705576,-10.805045853083982,-16.83988318742431,-5.968838915842617,-9.651196843635702,8.779514195530783,0.5632341676006903,0.6258833762311524,7.953230539665364,8.15372214101086,3.024601067203669,4.433416258409314,0.9116474933673178,0.6537515356769573,0.4491812349805042,0.4284488421687289,4.619869645441365,2.1419355391237307,8.126362516152366,4.427676215980634,4.488378785179707,4.652239720987675,3.2120288004493354,10.316011297660769,9.181685974978507,12.384233515088326,8.339142476473203,8.140041118552782,6.775630744932727,8.40880623275093,8.250668899171242,35.400376598097715,7.433372192979804,9.386951480014826,5.641782659029034,6.2635564635791585,7.076030591559274,6.3573790433278115,6.6791505101544875,7.371760801857543,23.230357857521476,8.854473410220812,1.245120021602419,0.9429056779578702,0.4873392591036131,0.6289681139377639,0.4542868063302824,7.9210050421067315,6.826822604863597,8.643862443267254,4.533627552501385,4.199874662180281,9.736023301994308,11.399388458692997,17.081501096436828,0.11065354180456825,7.744111890400317,1.2023943261465626,3.612694803671708,1.625864796069704,2.0243264987412566,3.5426393469423205,1.8601190683726125,1.6755467835340743,3.6194498087542044,2.8790388341040405,6.949434381984209,-2.537292316573178,-3.1096100954349746,4.538226330471518,1.794443165954311
2019-06,-8.186884230476004,-0.5320480954403226,-0.40206994254720874,-9.485267295507194,-10.56420163760944,-3.5679132152820907,-4.381856341831748,-0.8560127741526892,-0.35457487584726477,-0.19361936401172464,-0.16849387191297552,-3.5586670206260913,-1.5925784113149182,-3.6009561676617174,-1.3444535106927955,-4.2785599478139895,-3.5675699067750655,-3.494457670036085,-10.445117250731416,-9.503505274844864,-5.531817040058626,-7.529335794026626,-8.330844677218876,-23.723983101246358,-15.418553843331749,-6.72801809514503,-38.3306865550515,-5.698443014708651,-5.923512289532232,-5.272746439843788,-7.442179328748405,-7.86323113617713,-8.007995429157221,-6.216014262405993,-5.074232743866949,-13.62744011717608,-5.6505253068010335,-1.1348454595136503,-0.8649873066268743,-0.7050379815334227,-0.7300654481722579,-0.6300668457100749,-9.778006727531652,-8.818805249041263,-10.293574009867323,-3.9768269123294537,-4.613919907817184,-8.548527408402936,-10.293005511527719,-17.327392124109203,-0.12383809682059993,-7.236967191392852,0.026853713791372358,0.9587201163672574,-0.35914870551544265,-0.3829724243621693,-3.7259254261554298,-5.189276796402336,-4.06664022031222,-4.305234191202965,0.5939969650524488,2.724610203837922,-11.529798914477047,-14.972239064880974,-5.262891196175283,-7.960167970789456,12.042073881998437,0.40554474205135554,0.5463512390017218,11.24883385801355,10.569006318006995,3.4246154240154194,4.115252081385826,0.9827965740807069,0.6114040634623062,0.4248722686035309,0.4002896159978515,3.4859622786860904,2.024808933226139,8.082293877778946,4.683745412959409,4.575579694853473,4.156158943528245,3.390693593042548,10.47304507861723,8.775931880805905,13.35386301936975,9.800450912289156,7.271837923713278,7.898783384681295,7.92308714470702,7.074195070828191,36.843828392757786,6.032649038755906,8.320002497283912,4.770173906329365,5.644593455453424,5.504025822472296,4.018095558143116,6.223107671297878,6.569232587903027,22.824481175767723,8.830264572740528,0.8253284511916428,0.9604805556525402,0.5216529546423425,0.6822585705740509,0.5054036475689485,7.375232081619702,7.046408022058733,8.16876965792993,5.211910004174616,3.8140453779965573,8.13068960743124,10.199007671524972,14.16964270729121,0.09363153224463183,7.850898924336942,1.9183411584107861,4.102960330201044,1.6972451884247937,2.4662346854425934,5.09950339361974,7.899358091957971,4.934079203015328,6.576406631407885,3.3990833182112756,7.494223719935099,-0.18931109045368366,3.124964882613366,7.544804473830189,5.185323864699544
2019-07,-10.484265707665015,-0.48549706531541786,-0.40674297205996135,-8.138097339647661,-9.791808068202444,-4.297279823019764,-5.1513299365050855,-0.9236758761142263,-0.3937938471061735,-0.17810268500895432,-0.16109896006578822,-3.021872935279249,-1.3855522566262222,-2.9056141203179684,-1.2077442913195804,-4.910969144108409,-4.856821784990581,-3.26818350015295,-9.343666639441484,-8.632368274672253,-5.65420232999539,-9.375605165308704,-8.014709824451131,-18.90363912235121,-13.99783356175973,-6.957417363780723,-39.42178786179337,-6.530551153974681,-9.563986190532203,-5.410131697513574,-7.5986086200718574,-6.878009933255272,-5.878404196911844,-6.845323329274351,-5.470624403604519,-15.404867776339545,-6.232768771100998,-1.0496790111714918,-0.8219666312161914,-0.5686178036446742,-0.587699222234899,-0.5464102235653618,-9.295378391019177,-8.872334167756364,-11.620728782297538,-4.655263455979045,-4.377466471042562,-8.39698688770181,-10.241825189979332,-18.68517146154526,-0.1317956261008938,-6.639728158557837,-0.3917384407344826,1.2852804312278105,-0.5519020255054511,0.019895864950694397,-2.2115786940529327,-6.454092344352579,-3.188513320008464,-4.789003922110243,1.760574630152614,5.960247845287347,-2.376825835049818,-7.700334837802677,-1.8915403943245757,-4.365380181103032,9.744683390355371,0.4520860965831978,0.5416620113230485,12.58889858470405,11.333346038314533,2.693985343983314,3.345201122849657,0.9150734164993077,0.572134464095398,0.4403833237962298,0.40767568517902625,4.022482333338589,2.231557178755072,8.775932561116019,4.8165719615077816,3.941228888885488,2.864654782021806,3.6167603383009084,11.56924801571688,9.638624660845288,13.230612536374927,7.946231955872184,7.587834066357232,12.68809537700361,9.286077293841153,6.844146533602356,35.748182687536804,5.199642680619277,4.67834294488792,4.632719988255417,5.4878170231471,6.489193194551617,6.1476191448053905,5.593739039903238,6.171968846667133,21.041622399747542,8.246174346939679,0.9104175184611507,1.0034692246965298,0.6580420832638453,0.8245993142307652,0.5890270873538395,7.857236777048623,6.9921420291437455,6.841377413089264,4.533340623603434,4.050482284211086,8.282131984123986,10.249696725423805,12.811757545032123,0.08567185712610977,8.448016537332906,1.420796115311562,3.501744599293924,0.9058355159376105,2.5518764797721083,5.396080913362111,5.176606104878263,5.038188298131734,5.037191005704418,3.0032202577943625,7.949807216077998,1.9939922728841022,-0.07818062931736813,4.252483232226602,4.703878890002012
